	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12	Y13	Y14	Y15	SRR1646026	SRR1646027	SRR1646028	SRR1646029	SRR1646037	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44	HC02	HC07	HC09	HC11	HC12	HC53	HC61	HC64	HC67	HC70	HC72	HC74	SRS012849_HMP	SRS012969_HMP	SRS013951_HMP	SRS014287_HMP	SRS014459_HMP	SRS016095_HMP	SRS016438_HMP	SRS017247_HMP	SRS017916_HMP	SRS022071_HMP	SRS023346_HMP	SRS043667_HMP	SRS045528_HMP	SRS045645_HMP	SRS045739_HMP	SRS047014_HMP	SRS047044_HMP	SRS049959_HMP	SRS053649_HMP	SRS074964_HMP	SRS075078_HMP	SRS075341_HMP	SRS075963_HMP	SRS077335_HMP	SRS077753_HMP	SRS077849_HMP	SRS078242_HMP	SRS078419_HMP	SRS078665_HMP	SRS098571_HMP	SRS098717_HMP	SRS101376_HMP	SRS104197_HMP	SRS104400_HMP	SRS140492_HMP	SRS140513_HMP	SRS142712_HMP	SRS142890_HMP	SRS143991_HMP	SRS145497_HMP	SRS146813_HMP	SRS147445_HMP	SRS147919_HMP	SRS148424_HMP
Halorientalis	0.209508460918614	0	0.0466853408029879	0.125435310039776	0	0	0	0.00721136511141559	1.48367952522255	0	1.48048452220727	0	0	0	0.226996351844345	0	0	0.190114068441065	0	0	0.020968128444764	0.0127212975723524	0.0197904847349394	3.82483370288248	0.0100353243416827	0.0162162162162162	0.0137924693117558	0.0385871587448149	0.404858299595142	0.0644329896907216	0.0212374345179102	0.00130910956985278	0.22920759659463	0.582689537776614	0.00242717911037266	0.0381004484129698	0.149437983236957	0.0339429758006549	0.0153640884648041	0.00227721960594992	0.0223189376185694	0.0395496611912358	0.268192383336313	0.317460317460317	0.0208246563931695	0.0268096514745308	0.573394495412844	0.20703933747412	0.322769953051643	0.186065743229274	0.0601805416248746	0.0718261806428443	0.0535963125736949	0.0348153048079936	0.127226463104326	0.0468352736518132	0.00798722044728434	0.182466616903044	0.0842176183257538	0.995316159250585	0.780121352210344	0.0361663652802893	0.00557351465834355	0	0.0125612195468319	2.33442849731973	0	0.110384648042795	0.141003948110547	1.33740924722965	0.00337849251663908	0.118525542254356	0.382897255902999	0.634639509999262	0.025214810791939	0.458715596330275	0.246519721577726	0.0529205530197791	0	0.00313162534487024	0.0962204603186822	0.0791423843441974	0.0389730598723632	0.114066804407713	0.0320593556069523	0.109376553644228	0.000620850648168077	0.128953684135115	0.0785938839668477	0.0818840781992947	0.87175513366912	0.00131013949710295	0	0.012156383951459	0.178094390026714	0.0948047023132347	0.0340251786321878	0.00762369444232675	0.198671737526253	0.280024891101431
Natronomonas	0.008058017727639	0	0.00778089013383131	0.0511644027793824	0	0	0	0.0414653493906397	0	0	0.318120641135446	0.312989045383412	0	0	0.0243210376976084	1.11111111111111	0	0.190114068441065	0	0	0.113826982985861	0.0646665959927913	0.101591154972689	0.221729490022173	0.134473346178549	0.0518918918918919	0.259758172038067	0.0537463996802778	0.224921277552857	0.300687285223368	0.127424607107461	0.00536734923639639	0.851342501637197	0.57614246431845	0.0119152429054658	0.0332157755395121	0.10395685790397	0.0718792428719751	0.0598390813892371	0.00774254666022973	0.228769110590336	0.0606428138265616	0.286071875558734	2.92063492063492	0.133277800916285	0.361930294906166	0.229357798165138	0.276052449965493	0.880281690140845	0.702915029977259	1.08324974924774	0.125695816124978	0.0786079251080859	0.0696306096159872	0.318066157760814	0.214104108122575	0.12779552715655	0.389815045201957	0.353713996968166	0.117096018735363	0.982375036116729	0.687160940325497	0	0.676437429537768	0.00209900274411812	0.96835552481411	0	0.0254733803175681	0.0789622109419064	0.573175391669851	0.087840805432616	0.225198530283276	0.1914486279515	0.236144933953214	0.00581880249044747	0.835881753312946	0.0821732405259087	0.205067142951644	0.0276969948760559	0.00250530027589619	0.0461858209529674	0.230232390819483	0.0925610171968627	0.0581095041322314	0.0732785271016053	0.362931291637665	0.0115892120991374	0.0537307017229645	0.357244927122035	0.058621555983586	0.881441301821	0.00131013949710295	0	0.00845661492275411	0.348768180468982	0.0113765642775882	0.0185591883448297	0.0228710833269803	0.374638133620934	0.197054552997303
Halalkalicoccus	0.016116035455278	0	0.0311235605353252	0.00165046460578653	0	0	0	0.00901420638926949	0	0	0.0734124556466414	0	0	0	0.00810701256586948	0	0	0	0	0	0.0239635753654445	0.0148415138344111	0.00923555954297174	3.32594235033259	0.00267608649111539	0.00648648648648649	0.0114937244264632	0.00275622562462963	1.12460638776428	0.150343642611684	0.0188777195714758	0.00104728765588222	0.327439423706614	0.104753175330627	0.000661957939192544	0.0175848223444476	0.0194919108569943	0.0179698107179938	0.00404318117494845	0.00182177568475994	0.0390581408324964	0.00263664407941572	0.107276953334525	0.253968253968254	0.00832986255726781	0.0402144772117962	0.458715596330275	0.0690131124913734	0.0293427230046948	0.0826958858796775	0.240722166499498	0.0538696354821332	0.003573087504913	0.00696306096159872	0.127226463104326	0.0468352736518132	0.0269568690095847	0.281993862486522	0.252652854977261	1.22950819672131	1.04016180294713	0.144665461121157	0.00557351465834355	0	0.000459156850275838	1.902126923742	0	0.0424556338626136	0.095882684715172	0	0.00675698503327815	0.272608747185018	0.1914486279515	0.0664157626743414	0.0155168066411932	0.336391437308869	0.0386697602474865	0.152146589931865	0	0.00845538843114965	0.119313370795166	0.0359738110655443	0.048716324840454	0.107610192837466	0.00915981588770066	0.377846276225515	0.0300077813281237	0.0286563742522477	0.114318376679051	0.111660106635402	0.232468035645099	0.000327534874275738	0	0.0105707686534426	0.697536360937964	0.0417140690178233	0.0556775650344892	0.00762369444232675	0.34625645683147	0.373366521468575
Halobacterium	0.620467365028203	0	0.124494242141301	0.128736239251349	0	0	0	0.0450710319463474	1.18694362017804	0	2.21460907867368	0.938967136150235	0.0536576641030227	0	0.551276854479124	0	0	0.380228136882129	0	0	0.188713156002876	0.0604261634686738	0.0686070137477901	1.16407982261641	0.0508456433311925	0.104864864864865	0.156314652199899	0.0344528203078704	2.15924426450742	0.987972508591065	0.0589928736608618	0.00877103411801361	0.556647020301244	0.589236611234778	0.0114739376126708	0.058616074481492	0.227405626664934	0.107818864307963	0.0274936319896495	0.00865343450260969	0.212029907376409	0.0290030848735729	0.232433398891471	1.11111111111111	0.0999583506872137	0.630026809651475	1.14678899082569	0.989187945709685	1.02699530516432	0.620219144097581	1.26379137412237	0.197521996767822	0.103619537642477	0.11140897538558	0.349872773536896	0.194031847986083	0.0359424920127796	1.53437836941196	0.45477513895907	5.21077283372365	1.96475007223346	0.795660036166365	0.0167205439750307	1.12739571589628	0.00790405720831979	4.89365381289988	0	0.110384648042795	0.716300056401579	0.993504012227742	0.0236494476164735	1.31563351902335	0.957243139757498	1.6530145376725	0.0717652307155187	1.69215086646279	0.642884764114462	1.16425216643514	0.0276969948760559	0.00344478787935727	0.45416057270418	0.647528599179797	0.550494470697131	0.286243112947658	0.107627836680483	0.919757382917371	0.0823661859902982	0.411935379876061	1.22177765075736	0.339632824349347	2.57652072839984	0.00786083698261772	0.174695961835651	0.0581392275939345	0.794004155535767	0.159271899886234	0.145380308701166	0.0381184722116338	0.561957200431402	1.2341837792989
Halanaeroarchaeum	0.048348106365834	0	0.0155617802676626	0.00990278763471917	0	0	0	0.00540852383356169	0	0	0.256943594763245	0	0	0	0.0567490879610863	0	0	0.190114068441065	0	0	0.0149772346034028	0.0180218382274992	0.0474971633638547	1.27494456762749	0.00602119460500963	0.00648648648648649	0.0241368212955726	0.00964678968620371	0.0449842555105713	0.107388316151203	0.0188777195714758	0.000785465741911666	0.130975769482646	0.0851119549561346	0.00132391587838509	0.0195386914938307	0.0324865180949906	0.00199664563533264	0.00646908987991752	0.00478216117249483	0.0223189376185694	0.0237297967147415	0	0.53968253968254	0.0041649312786339	0.160857908847185	0.229357798165138	0.0690131124913734	0.440140845070423	0.0826958858796775	0.120361083249749	0.0359130903214222	0.00714617500982599	0.00348153048079936	0.0636132315521628	0	0.00998402555910543	0.829393713195654	0.252652854977261	0.292740046838407	0.231147067321583	0.253164556962025	0.0111470293166871	0.450958286358512	0.000885516782674831	1.91941898668511	0	0	0.276367738296672	0.11463507833397	0.189195580931788	0.0592627711271779	0.255264837268666	0.715814331045679	0.0717652307155187	0.295616717635066	0.604215003866976	0.0793808295296686	0	0.000939487603461072	0.119313370795166	0.582775739261817	0.170507136941589	0.103305785123967	0.0183196317754013	0.183951476583474	0.0308355821923478	0.0179102339076548	0.364389825664476	0.0539690515404442	0.755521115846571	0.0108086508510994	0.759255526439562	0.0237842294702459	0.2077767883645	0.178232840348881	0.0185591883448297	0.00762369444232675	0.136232048589431	0.311138767890479
Haloferax	0.088638195004029	0	0.0544662309368192	0.0429120797504497	0	0.00835631319461853	0	0.0396625081127858	0	0	0.51388718952649	0.312989045383412	0.0357717760686818	0	0.145926226185651	2.22222222222222	0	0.190114068441065	0.598802395209581	0	0.122813323747903	0.0890490830064667	0.0765232076417658	4.60088691796009	0.061549989295654	0.067027027027027	0.340214243023309	0.0633931893664815	0.449842555105713	0.923539518900344	0.106187172589551	0.0181966230209536	2.68500327439424	0.759460521147047	0.0207413487613664	0.120162952687059	0.428822038853876	0.275537097675905	0.0606477176242267	0.0232276399806892	0.200870438567124	0.0764626783030559	1.25156445556946	2.34920634920635	0.129112869637651	1.0857908847185	2.86697247706422	0.805152979066023	1.61384976525822	1.52987388877403	1.32397191574724	1.31082779673191	0.228677600314432	0.170594993559169	0.66793893129771	0.428208216245149	0.195686900958466	1.19432694700174	0.614788613778002	1.75644028103044	1.15573533660792	1.22965641952984	3.15460929662245	2.0293122886133	0.0166280373635607	4.75531730935501	0	0.0509467606351363	1.75408911449521	8.71226595338173	0.702726443460928	0.865236458456797	2.04211869814933	1.81536417976533	0.756444323758171	0.560652395514781	2.85189481825213	1.44870013891645	0.020772746157042	0.0485401928454887	0.76591486413671	1.3813943449169	1.87070687387343	0.50146349862259	0.524399459570863	1.38709356666998	0.0343537358653002	1.37908801088942	2.76507573592455	0.522010998520504	3.38047268500581	0.0415969290330188	0.833165356446953	0.134248761898721	1.33570792520036	1.04285172544558	0.0680503572643756	0.236334527712129	0.38599080433672	2.44762497407177
Halogeometricum	0	0	0.0155617802676626	0.0132037168462922	0	0	0	0.00721136511141559	0	0	0.134589502018843	0	0.0178858880343409	0	0.00810701256586948	0	0	0.190114068441065	0	0	0.0419362568895279	0.00530054065514683	0.0184711190859435	0	0.00401412973667309	0.0183783783783784	0.0321824283940968	0.00413433843694445	0.764732343679712	0.279209621993127	0.0235971494643447	0.00183275339779389	0.327439423706614	0.0523765876653136	0.0015445685247826	0.00781547659753226	0.0194919108569943	0.00998322817666321	0.00161727246997938	0.00113860980297496	0.016739203213927	0.00527328815883144	0.125156445556946	0.317460317460317	0.0333194502290712	0.160857908847185	0	0.253048079135036	0.821596244131455	0.0620219144097581	0.100300902708124	0.0897827258035554	0.03573087504913	0.0313337743271942	0.0636132315521628	0.0334537668941523	0.0389376996805112	1.27726631832131	0.244231093144686	1.46370023419204	0.491187518058365	1.51898734177215	0.0780292052168097	2.0293122886133	0.00052475068602953	6.86494898841432	0	0.059437887407659	0.0564015792442188	3.93580435613298	0.128382715632285	1.31563351902335	1.85067007019783	0.708434801859641	0.159047268072231	1.19266055045872	0.401198762567672	0.403519216775815	0.13848497438028	0.00375795041384429	0.0307905473019783	0.805813367868192	0.823305889803673	0.165719696969697	0.0480890334104285	0.333101322461967	0.0254548765748911	0.712827309524662	0.20005715918834	0.0967720924173483	1.67570709027509	0.00753330210834199	3.66189612309346	0.0248413063355902	0.319085782131196	0.379218809252939	0.0835163475517337	0.0457421666539605	0	1.20306990250985
Haloquadratum	0	0	0.427948957360722	0.140289491491855	0.219058050383352	0.00835631319461853	0	0.0306483017235163	0.890207715133531	0.0154023873700424	0.220237366939924	0	0.0178858880343409	0.719424460431655	0	1.11111111111111	0	0.570342205323194	0	0	0.068895279175653	0.0477048658963214	0.0131936564899596	0	0.00334510811389424	0.00108108108108108	0.00459748977058526	0.0137811281231482	1.43949617633828	0.644329896907217	0	0.00392732870955833	0.261951538965291	0.242241717952075	0.00220652646397515	0.0283311026660545	0.253394841140927	0.0439262039773181	0.010512271054866	0.0125247078327246	0.0446378752371387	0.065916101985393	0.0536384766672627	0.444444444444444	0.0166597251145356	0.134048257372654	1.94954128440367	0.368069933287325	0.146713615023474	0.206739714699194	0.300902708124373	0.215478541928533	0.0500232250687819	0.0104445914423981	0.572519083969466	0.0334537668941523	0.00299520766773163	0.0165878742639131	0.0505305709954522	0.292740046838407	0.433400751227969	0.289330922242315	0.378998996767361	8.68094701240135	6.55938357536912e-05	0.484177762407055	0	0.00849112677252271	0	0.0764233855559801	0	0.320018964086761	0.446713465220166	0.0147590583720759	0.0465504199235797	0	0.0966744006187162	0.00661506912747238	0	0.000313162534487024	0	0.0143895244262177	0	0.00860881542699725	0.00228995397192516	0.0795465844685294	0	0.0107461403445929	0.0071448985424407	0.000930500888628349	0.0387446726075165	0.140839995938568	0	0	0.00742059958444642	0.0948047023132347	0	0	0	0.010371292263016
Halolamina	0.451248992747784	0.018152114721365	0.0233426704014939	0.0264074336925845	0.219058050383352	0.0167126263892371	0.0434027777777778	0.120790365616211	0.593471810089021	0.0115517905275318	1.10118683469962	0.312989045383412	0.0178858880343409	2.87769784172662	0.510741791649777	1.11111111111111	0	0.190114068441065	0	0	0.784807093218308	0.145234813951023	0.131936564899596	7.76053215077605	0.066233140655106	0.184864864864865	0.0827548158705347	0.0427214971817593	4.67836257309941	4.68213058419244	0.0967483128038133	0.0134838285694836	4.38768827766863	2.14089302081969	0.0189761275901863	0.101601195767919	0.6887141836138	0.479194952479834	0.135042251243278	0.0145742054780795	0.418480080348175	0.0922825427795502	1.18004648667978	4.53968253968254	0.174927113702624	0.96514745308311	4.12844036697248	2.27743271221532	1.55516431924883	0.558197229687823	1.30391173520562	1.18513198060693	0.146496587701433	0.198447237405563	1.30407124681934	0.334537668941523	0.36741214057508	1.78319648337066	2.14754926730672	4.97658079625293	6.64547818549552	4.48462929475588	0.195073013042024	2.25479143179256	0.0220395288132402	5.27407919764828	0	0.237751549630636	0.902425267907501	6.5341994650363	0.283793371397682	4.68175891904705	4.14805360561583	3.16581802081027	0.25214810791939	1.14169215086646	0.990912606341841	1.09148640603294	0.0415454923140839	0.0469743801730536	0.315603109845278	1.17994100294985	0.925610171968627	0.587551652892562	0.370972543451877	1.66550661230983	0.0256618267909472	1.64774151950424	3.02943698199486	0.719277186909714	4.05850445563735	0.0556809286268755	0.376268225492172	0.275368523422181	1.15761353517364	0.629503223359879	0.19177827956324	0.0533658610962873	1.70290060736788	2.4683675585978
Halorubrum	0.064464141821112	0	0	0.00660185842314612	0	0	0	0.00901420638926949	0	0.00385059684251059	0.134589502018843	0	0	0	0.0567490879610863	0	0	0.190114068441065	0	0	0.0269590222861251	0.0106010813102937	0.035622872522891	1.88470066518847	0.0301059730250482	0.00756756756756757	0.0252861937382189	0.0124030153108333	0.0449842555105713	0.128865979381443	0.0235971494643447	0.00405823966654361	0.523903077930583	0.130941469163284	0.00397174763515526	0.0156309531950645	0.0649730361899812	0.0199664563533264	0.00566045364492783	0.00250494156654491	0.0446378752371387	0.0158198644764943	0.232433398891471	1.77777777777778	0.0166597251145356	0.348525469168901	0.114678899082569	0.0460087416609156	0.528169014084507	0.0413479429398387	0.180541624874624	0.107739270964266	0.0393039625540429	0.0278522438463949	0.0636132315521628	0.100361300682457	0.0509185303514377	0.364933233806088	0.244231093144686	1.22950819672131	0.260040450736781	0.289330922242315	0	0	0.000885516782674831	0.674390454781255	0	0	0.0338409475465313	0.573175391669851	0.0101354775499172	0.10667298802892	0.1914486279515	0.132831525348683	0.00969800415074578	0	0.135344160866203	0.13891645167692	0.00692424871901399	0.00375795041384429	0	0.244621915245701	0.0584595898085448	0.0925447658402204	0.00228995397192516	0.412647906930496	0.00144865151239218	0.204176666547265	0.135753072306373	0.0316370302133639	1.0654784967067	0.00262027899420591	0	0.0126849223841312	0.31166518254675	0.0303375047402351	0.0185591883448297	0.00762369444232675	0.0227053414315718	0.259282306575399
